lr,weight_decay,batch_size,label_smoothing,perp_dropout,perp_grad_scale,perp_gate_init,branch_proj_dim,hidden_dims,dropout_rates,F1_Score,Trial_ID
0.0011360171605954274,1.9676745427004847e-05,1024,0.05,0.19439994360231477,0.06577457403954433,0.28387065463179934,16,"[256, 128]","[0.4, 0.2]",93.36,15
0.0004299234484279046,3.1560688266700736e-05,128,0.15,0.19850178106387137,0.16948191511276184,0.32259436732615193,64,"[256, 128]","[0.4, 0.2]",93.28999999999999,13
0.00012524968725648912,1.4004953784704797e-05,128,0.05,0.28359679549338623,0.10406774739871852,0.24186634082328767,64,"[256, 128]","[0.4, 0.2]",93.23,12
0.0006602187345218636,8.628844829161101e-05,512,0.05,0.46706120783446015,0.2126035938966303,0.35686317777000265,64,"[128, 64]","[0.4, 0.2]",93.16,3
0.0005865009081134225,1.2166399554579872e-05,256,0.01,0.10607791468970147,0.36235486975060677,0.33633249525326187,32,"[64, 32]","[0.3, 0.1]",92.9,2
0.0010572057240674608,2.004938714134792e-05,512,0.1,0.34373514605217004,0.08663547326891542,0.19214913058766142,24,"[256, 128]","[0.4, 0.2]",92.84,7
0.0010107571440764057,4.7535149242002747e-05,512,0.1,0.15237259343104387,0.1313878138997528,0.2357383576743458,32,"[128, 64, 32]","[0.3, 0.2, 0.1]",92.83,4
0.0012963153310638449,8.953879478640318e-05,256,0.05,0.48693817811976736,0.31940289609992384,0.2560042473519606,32,"[128, 64]","[0.4, 0.2]",92.58999999999999,8
0.0030609681001613613,0.00010523105169148419,128,0.01,0.45981102402600793,0.27023717485385057,0.3489347270651443,64,"[64, 32]","[0.3, 0.1]",92.41,5
0.0002044905545176213,1.606513026452186e-05,128,0.05,0.4228073560769162,0.0967914786061188,0.1763669951116077,32,"[128, 64]","[0.4, 0.2]",92.29,6
0.000314665671783445,0.0015149346393861073,128,0.1,0.48211629481097307,0.1242708585787728,0.3806439293125466,16,"[256, 128, 64]","[0.5, 0.3, 0.1]",92.17,14
0.0024015570325624665,3.4847169521221794e-05,1024,0.15,0.3791146455140061,0.27393340625837653,0.18527687612865973,16,"[64, 32]","[0.3, 0.1]",91.84,10
0.001678666131158426,7.395817454106378e-05,128,0.01,0.41145231846587615,0.27432700068023647,0.09255337188849536,32,"[64, 32]","[0.3, 0.1]",91.79,11
0.0001576542871461024,1.3944874828760122e-05,256,0.05,0.30310419751488404,0.23509053627140392,0.14766060291057942,48,"[128, 64, 32]","[0.3, 0.2, 0.1]",91.77,1
0.0024520324692053823,0.0005156821743153576,128,0.01,0.41073720600785457,0.25174355758086364,0.2601081731665669,48,"[128, 64]","[0.4, 0.2]",91.4,9
