Features_Used,Test_Accuracy
sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | function_word_adjacency,0.8519491129785247
burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | function_word_adjacency,0.8511321195144724
burstiness | dependency_tree_depth | verb_gap_deviation | function_word_adjacency,0.8488562091503268
sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.8460259103641457
burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.8443627450980392
sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | function_word_adjacency,0.8433998599439776
sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.8431372549019608
burstiness | sentence_length_deviation | dependency_tree_depth | function_word_adjacency,0.8429913632119514
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | function_word_adjacency,0.8424953314659197
burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.8420868347338936
sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.8374474789915967
burstiness | dependency_tree_depth | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.8368639122315593
burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.8359302054154996
sentence_length_deviation | dependency_tree_depth | stopword_gradient | function_word_adjacency,0.8351132119514473
sentence_length_deviation | dependency_tree_depth | clause_density | function_word_adjacency,0.8350256769374417
sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.8345296451914099
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | function_word_adjacency,0.8343545751633987
sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.834296218487395
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.8341211484593838
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.8341211484593838
burstiness | dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.8339752567693745
burstiness | dependency_tree_depth | clause_density | verb_gap_deviation | function_word_adjacency,0.8338877217553688
burstiness | dependency_tree_depth | verb_gap_deviation | lexical_density | function_word_adjacency,0.8337418300653595
burstiness | sentence_length_deviation | dependency_tree_depth | stopword_gradient | function_word_adjacency,0.8333333333333334
dependency_tree_depth | verb_gap_deviation | lexical_density | function_word_adjacency,0.8312033146591971
sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | lexical_density | function_word_adjacency,0.8306781045751634
burstiness | dependency_tree_depth | lexical_density | function_word_adjacency,0.8293942577030813
burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | lexical_density | function_word_adjacency,0.8283730158730159
sentence_length_deviation | dependency_tree_depth | subject_verb_distance | function_word_adjacency,0.8276143790849673
burstiness | sentence_length_deviation | dependency_tree_depth | subject_verb_distance | function_word_adjacency,0.8264764239028944
