Word Range,Train Samples/Class,Test Samples/Class,Accuracy,Macro F1,ROC-AUC,Top 3 Predictive Features
1001+,493,119,0.9076,0.9073,0.9744,"perplexity ttr_slope, entropy avg_word_length, perplexity unique_words_ratio, perplexity hapax_ratio, entropy hapax_ratio"
1001+,250,119,0.9034,0.9031,0.9763,"perplexity ttr_slope, perplexity unique_words_ratio, perplexity hapax_ratio, entropy, entropy hapax_ratio"
801-900,679,156,0.8686,0.8685,0.9512,"sw_gradient avg_word_length, entropy sw_gradient, entropy avg_word_length, entropy hapax_ratio, hapax_ratio avg_word_length"
801-900,500,156,0.8654,0.8653,0.9505,"sw_gradient avg_word_length, entropy sw_gradient, entropy avg_word_length, entropy, unique_words_ratio avg_word_length"
901-1000,285,57,0.8596,0.8596,0.916,"entropy punct_density, entropy lexical_density, punct_density avg_word_length, lexical_density avg_word_length, perplexity hapax_ratio"
801-900,250,156,0.859,0.859,0.9516,"sw_gradient avg_word_length, perplexity ttr_slope, entropy sw_gradient, unique_words_ratio avg_word_length, hapax_ratio avg_word_length"
901-1000,250,57,0.8509,0.8509,0.904,"perplexity unique_words_ratio, perplexity hapax_ratio, entropy punct_density, entropy lexical_density, entropy hapax_ratio"
801-1000,964,213,0.8474,0.8473,0.933,"punct_density avg_word_length, entropy punct_density, pronoun_ratio avg_word_length, entropy avg_word_length, entropy hapax_ratio"
801-1000,250,213,0.8451,0.845,0.9295,"entropy avg_word_length, perplexity, perplexity unique_words_ratio, perplexity hapax_ratio, perplexity punct_density"
801-1000,500,213,0.8404,0.8402,0.9306,"entropy avg_word_length, perplexity, entropy, entropy pronoun_ratio, perplexity hapax_ratio"
601-1000,250,888,0.8266,0.8265,0.8991,"lexical_density avg_word_length, entropy lexical_density, entropy unique_words_ratio, entropy hapax_ratio, sw_gradient avg_word_length"
0-100,500,122,0.8197,0.8197,0.8877,"unique_words_ratio avg_word_length, hapax_ratio avg_word_length, entropy sw_gradient, entropy, pronoun_ratio avg_word_length"
601-1000,500,888,0.8193,0.8191,0.9018,"entropy hapax_ratio, entropy unique_words_ratio, lexical_density avg_word_length, hapax_ratio avg_word_length, unique_words_ratio avg_word_length"
601-1000,1500,888,0.8193,0.8191,0.9028,"entropy unique_words_ratio, unique_words_ratio avg_word_length, hapax_ratio avg_word_length, entropy hapax_ratio, sw_gradient avg_word_length"
601-1000,1000,888,0.8193,0.819,0.9032,"entropy unique_words_ratio, entropy hapax_ratio, sw_gradient avg_word_length, pronoun_ratio avg_word_length, lexical_density avg_word_length"
701-800,250,357,0.8165,0.816,0.8928,"hapax_ratio avg_word_length, perplexity ttr_slope, unique_words_ratio avg_word_length, entropy hapax_ratio, entropy unique_words_ratio"
0-100,250,122,0.8156,0.8155,0.8832,"unique_words_ratio avg_word_length, hapax_ratio avg_word_length, entropy avg_word_length, sw_gradient avg_word_length, avg_word_length"
0-100,503,122,0.8156,0.8155,0.8881,"unique_words_ratio avg_word_length, hapax_ratio avg_word_length, entropy, entropy sw_gradient, sw_gradient avg_word_length"
701-800,1370,357,0.8123,0.8117,0.895,"sw_gradient avg_word_length, hapax_ratio avg_word_length, lexical_density avg_word_length, unique_words_ratio avg_word_length, entropy hapax_ratio"
501-1000,500,1000,0.81,0.8097,0.8873,"lexical_density avg_word_length, perplexity ttr_slope, sw_gradient avg_word_length, unique_words_ratio avg_word_length, hapax_ratio avg_word_length"
701-800,1000,357,0.8081,0.8075,0.8954,"hapax_ratio avg_word_length, unique_words_ratio avg_word_length, entropy hapax_ratio, entropy unique_words_ratio, sw_gradient avg_word_length"
701-800,500,357,0.8067,0.8061,0.8945,"hapax_ratio avg_word_length, unique_words_ratio avg_word_length, entropy hapax_ratio, entropy unique_words_ratio, perplexity ttr_slope"
501-1000,1000,1000,0.8065,0.806,0.8877,"lexical_density avg_word_length, sw_gradient avg_word_length, entropy lexical_density, unique_words_ratio avg_word_length, hapax_ratio avg_word_length"
601-800,1500,675,0.8067,0.8058,0.8842,"hapax_ratio avg_word_length, lexical_density avg_word_length, unique_words_ratio avg_word_length, sw_gradient avg_word_length, entropy unique_words_ratio"
601-800,250,675,0.8044,0.8043,0.8823,"entropy, sw_gradient avg_word_length, pronoun_ratio avg_word_length, entropy sw_gradient, unique_words_ratio avg_word_length"
501-1000,250,1000,0.8045,0.8042,0.8844,"perplexity ttr_slope, entropy avg_word_length, lexical_density avg_word_length, entropy unique_words_ratio, sw_gradient avg_word_length"
